key;en;de;fr;es
after_waking_up;After waking up;Nach dem Aufwachen;Après le réveil;Después de despertar
before_breakfast;Before breakfast;Vor dem Frühstück;Avant le petit déjeuner;Antes del desayuno
after_breakfast;After breakfast;Nach dem Frühstück;Après le petit déjeuner;Después del desayuno
before_lunch;Before lunch;Vor dem Mittagessen;Avant le déjeuner;Antes del almuerzo
after_lunch;After lunch;Nach dem Mittagessen;Après le déjeuner;Después del almuerzo
before_dinner;Before dinner;Vor dem Abendessen;Avant le diner;Antes de la cena
after_dinner;After dinner;Nach dem Abendessen;Après le diner;Después de la cena
before_bedtime;Before bedtime;Vor dem Schlafengehen;Avant d'aller dormir;Antes de ir a dormir
before_sport;Before sport;Vor dem Sport;Avant le sport;Antes del deporte
after_sport;After sport;Nach dem Sport;Après le sport;Después del deporte
tired;Tired;Müde;Fatigué;Cansado
good_mood;In a good mood;Gut drauf;De bonne humeur;De buen humor
excited;Excited;Aufgeregt;Excité;Excitado
sick;Sick;Krank;Malade;Enfermo